User_ID,Trusted_Device_IDs,Home_Location,Typical_Transaction_Amount,Account_Open_Days_Ago,Lifetime_Transactions_Before_Window
61,DEV-000100,Los Angeles,46.07,1691,124
62,DEV-000101,New York,14.18,778,41
63,DEV-000102;DEV-000103,Chicago,16.94,689,38
64,DEV-000104,Austin,72.31,691,40
65,DEV-000105;DEV-000106,San Francisco,180.87,1610,86
66,DEV-000107,Austin,105.9,73,5
67,DEV-000108;DEV-000109,San Francisco,44.51,487,20
68,DEV-000110,Houston,73.79,800,57
69,DEV-000111,Austin,13.18,1517,119
70,DEV-000112;DEV-000113;DEV-000114,Miami,33.88,530,41
71,DEV-000115;DEV-000116,San Francisco,34.31,1390,104
72,DEV-000117,Houston,32.6,399,19
73,DEV-000118;DEV-000119,Boston,102.36,1722,36
74,DEV-000120;DEV-000121,Los Angeles,33.09,1484,92
75,DEV-000122,Chicago,119.18,103,5
76,DEV-000123,Miami,14.95,779,62
77,DEV-000124,Austin,38.61,1934,110
78,DEV-000125,Austin,84.64,1821,110
79,DEV-000126;DEV-000127;DEV-000128,Chicago,33.12,1524,90
80,DEV-000129;DEV-000130,Austin,36.07,373,27
81,DEV-000131;DEV-000132;DEV-000133,Boston,19.35,231,6
82,DEV-000134;DEV-000135,Seattle,93.22,1980,124
83,DEV-000136;DEV-000137,Houston,15.67,1481,114
84,DEV-000138,Los Angeles,38.8,1277,87
85,DEV-000139,Miami,77.17,1896,88
86,DEV-000140,Miami,14.71,153,10
87,DEV-000141,Austin,226.78,1357,74
88,DEV-000142,San Francisco,123.29,516,33
89,DEV-000143;DEV-000144,Los Angeles,13.89,531,15
90,DEV-000145,San Francisco,134.02,427,20
91,DEV-000146,Austin,29.41,1449,109
92,DEV-000147;DEV-000148,Seattle,56.78,848,52
93,DEV-000149,Chicago,93.43,1436,51
94,DEV-000150;DEV-000151,Los Angeles,242.04,1979,154
95,DEV-000152,San Francisco,63.43,197,13
96,DEV-000153,Seattle,49.51,1529,74
97,DEV-000154,Miami,49.28,274,7
98,DEV-000155,Seattle,209.02,1606,49
99,DEV-000156,Chicago,87.9,1759,112
100,DEV-000157;DEV-000158;DEV-000159,Boston,29.73,1814,87
101,DEV-000160,Austin,65.69,394,11
102,DEV-000161;DEV-000162;DEV-000163,Houston,54.17,525,41
103,DEV-000164,Boston,18.21,1030,39
104,DEV-000165,San Francisco,17.92,1416,82
105,DEV-000166;DEV-000167,Chicago,32.59,1296,72
106,DEV-000168;DEV-000169,Miami,27.02,486,39
107,DEV-000170,San Francisco,21.59,1194,33
108,DEV-000171,Austin,37.73,952,33
109,DEV-000172;DEV-000173,Los Angeles,96.61,601,45
110,DEV-000174,San Francisco,34.44,62,3
111,DEV-000175;DEV-000176,New York,16.45,717,38
112,DEV-000177,San Francisco,86.22,530,21
113,DEV-000178;DEV-000179;DEV-000180,Austin,58.73,924,51
114,DEV-000181;DEV-000182,Boston,145.61,541,36
115,DEV-000183,New York,26.7,815,54
116,DEV-000184;DEV-000185;DEV-000186,Boston,100.06,1819,83
117,DEV-000187,Austin,22.34,557,16
118,DEV-000188,New York,65.13,1519,84
119,DEV-000189;DEV-000190,Boston,20.9,1816,117
120,DEV-000191;DEV-000192;DEV-000193,New York,117.75,1854,145
121,DEV-000194,New York,25.08,1708,57
122,DEV-000195;DEV-000196,Seattle,68.88,65,5
123,DEV-000197,Austin,53.89,948,35
124,DEV-000198,Miami,189.47,1385,60
125,DEV-000199,New York,27.26,447,15
126,DEV-000200;DEV-000201,Los Angeles,98.19,1927,111
127,DEV-000202;DEV-000203,Los Angeles,37.04,202,6
128,DEV-000204;DEV-000205,Houston,120.31,1110,81
129,DEV-000206,New York,150.99,85,2
130,DEV-000207,Miami,88.05,1717,57
131,DEV-000208;DEV-000209;DEV-000210,Houston,132.26,997,23
132,DEV-000211;DEV-000212,Chicago,15.61,1617,113
133,DEV-000213;DEV-000214,Austin,66.06,1419,90
134,DEV-000215;DEV-000216,Chicago,130.52,869,18
135,DEV-000217,Miami,53.08,1679,132
136,DEV-000218;DEV-000219,San Francisco,16.03,1844,123
137,DEV-000220;DEV-000221,Boston,38.99,430,10
138,DEV-000222,Miami,127.48,165,8
139,DEV-000223,Boston,140.67,532,33
140,DEV-000224,Los Angeles,32.38,539,23
141,DEV-000225,San Francisco,142.15,357,12
142,DEV-000226,Austin,55.69,475,15
143,DEV-000227;DEV-000228,Boston,221.5,216,11
144,DEV-000229;DEV-000230,New York,51.85,556,23
145,DEV-000231,Seattle,14.9,1323,49
146,DEV-000232;DEV-000233;DEV-000234,Boston,13.3,1368,101
147,DEV-000235,Seattle,22.0,1934,90
148,DEV-000236;DEV-000237,San Francisco,91.5,1709,43
149,DEV-000238,Austin,20.1,1632,99
150,DEV-000239,Boston,102.56,719,21
151,DEV-000240,San Francisco,67.91,1612,84
152,DEV-000241,Miami,26.8,729,39
153,DEV-000242;DEV-000243,Seattle,60.15,929,27
154,DEV-000244;DEV-000245;DEV-000246,Los Angeles,119.63,73,6
155,DEV-000247,Seattle,69.82,1613,118
156,DEV-000248,Houston,33.56,965,60
157,DEV-000249,Los Angeles,241.55,490,14
158,DEV-000250;DEV-000251,San Francisco,12.22,1805,110
159,DEV-000252,San Francisco,31.19,480,23
160,DEV-000253;DEV-000254,Los Angeles,15.8,1928,120
161,DEV-000255,Houston,22.56,1998,42
162,DEV-000256;DEV-000257;DEV-000258,Boston,36.46,63,5
163,DEV-000259,Boston,100.03,244,8
164,DEV-000260;DEV-000261;DEV-000262,San Francisco,195.17,1932,84
165,DEV-000263,Houston,20.1,627,47
166,DEV-000264,Austin,35.89,1266,26
167,DEV-000265;DEV-000266,Chicago,199.03,201,8
168,DEV-000267;DEV-000268,San Francisco,169.18,1771,60
169,DEV-000269,Los Angeles,109.66,1213,89
170,DEV-000270,San Francisco,22.55,1177,39
171,DEV-000271,Austin,18.18,1945,61
172,DEV-000272,Houston,24.55,303,21
173,DEV-000273,San Francisco,15.98,897,37
174,DEV-000274,New York,211.94,1716,97
175,DEV-000275,Seattle,95.47,271,8
176,DEV-000276;DEV-000277,Boston,53.97,1110,27
177,DEV-000278;DEV-000279;DEV-000280,Los Angeles,80.82,661,39
178,DEV-000281;DEV-000282;DEV-000283,Los Angeles,226.32,1122,64
179,DEV-000284;DEV-000285,Seattle,136.81,1333,58
180,DEV-000286;DEV-000287;DEV-000288,Seattle,104.67,713,40
181,DEV-000289,San Francisco,33.44,1684,40
182,DEV-000290;DEV-000291,Chicago,20.76,1819,129
183,DEV-000292,Miami,18.58,136,9
184,DEV-000293;DEV-000294,New York,14.08,823,39
185,DEV-000295,San Francisco,133.97,1900,145
186,DEV-000296,New York,44.43,1208,67
187,DEV-000297,San Francisco,14.14,1366,99
188,DEV-000298;DEV-000299,Houston,128.33,445,16
189,DEV-000300;DEV-000301;DEV-000302,Austin,42.18,1174,75
190,DEV-000303;DEV-000304,Chicago,17.48,811,47
191,DEV-000305,San Francisco,15.82,86,4
192,DEV-000306;DEV-000307,San Francisco,128.67,840,20
193,DEV-000308,Seattle,96.69,259,16
194,DEV-000309,Miami,124.22,1039,73
195,DEV-000310;DEV-000311,Boston,18.3,996,28
196,DEV-000312,Austin,40.08,875,43
197,DEV-000313,Boston,14.14,463,18
198,DEV-000314;DEV-000315,Los Angeles,25.98,109,9
199,DEV-000316,New York,56.52,1134,60
200,DEV-000317;DEV-000318,Chicago,57.51,1498,69
201,DEV-000319;DEV-000320,Seattle,107.73,335,16
202,DEV-000321;DEV-000322,San Francisco,23.73,1824,74
203,DEV-000323;DEV-000324;DEV-000325,Chicago,18.4,1341,43
204,DEV-000326;DEV-000327,Miami,128.46,885,38
205,DEV-000328,Los Angeles,12.86,1248,77
206,DEV-000329;DEV-000330,Seattle,241.87,1478,34
207,DEV-000331,Boston,168.95,940,31
208,DEV-000332;DEV-000333,Houston,43.06,1522,58
209,DEV-000334,Los Angeles,125.7,286,7
210,DEV-000335;DEV-000336;DEV-000337,Houston,84.18,1877,150
211,DEV-000338,New York,156.96,1519,99
212,DEV-000339,Miami,134.25,1286,78
213,DEV-000340;DEV-000341,Chicago,51.9,448,12
214,DEV-000342;DEV-000343,San Francisco,44.64,1916,144
215,DEV-000344;DEV-000345;DEV-000346,Austin,23.76,1064,30
216,DEV-000347,Boston,41.97,1826,130
217,DEV-000348;DEV-000349,Miami,104.58,438,28
218,DEV-000350;DEV-000351,San Francisco,26.12,1210,93
219,DEV-000352,Miami,87.83,1243,80
220,DEV-000353;DEV-000354,Seattle,55.28,530,41
221,DEV-000355,Seattle,103.09,647,18
222,DEV-000356;DEV-000357;DEV-000358,Austin,28.73,1330,100
223,DEV-000359,Houston,22.47,704,31
224,DEV-000360;DEV-000361;DEV-000362,Austin,14.32,1059,23
225,DEV-000363,Chicago,232.84,964,32
226,DEV-000364,Seattle,73.01,764,52
227,DEV-000365,Chicago,42.43,381,17
228,DEV-000366,Seattle,46.39,679,53
229,DEV-000367,Austin,135.43,752,55
230,DEV-000368,Boston,149.45,1302,96
231,DEV-000369,Austin,15.05,1768,116
232,DEV-000370,New York,99.75,1470,77
233,DEV-000371,Chicago,114.46,45,2
234,DEV-000372;DEV-000373;DEV-000374,Los Angeles,114.99,1361,107
235,DEV-000375,Miami,84.27,108,7
236,DEV-000376,Miami,47.08,843,23
237,DEV-000377;DEV-000378;DEV-000379,Seattle,124.5,1695,36
238,DEV-000380;DEV-000381;DEV-000382,Los Angeles,184.73,580,33
239,DEV-000383,Seattle,54.95,1953,113
240,DEV-000384,Los Angeles,119.63,71,5
241,DEV-000385,Austin,81.51,710,19
242,DEV-000386,Seattle,141.42,1956,42
243,DEV-000387,Los Angeles,42.26,1870,101
244,DEV-000388,Chicago,14.41,1304,53
245,DEV-000389;DEV-000390,Chicago,132.14,125,7
246,DEV-000391;DEV-000392;DEV-000393,Chicago,50.79,1661,89
247,DEV-000394,Austin,43.04,991,30
248,DEV-000395,Chicago,26.14,585,42
249,DEV-000396,Los Angeles,95.9,323,15
250,DEV-000397;DEV-000398,Seattle,65.19,885,66
251,DEV-000399;DEV-000400;DEV-000401,Chicago,39.15,748,51
252,DEV-000402,Houston,103.01,1766,36
253,DEV-000403;DEV-000404,Los Angeles,86.93,1204,42
254,DEV-000405,Seattle,34.55,1592,127
255,DEV-000406,Houston,168.74,1746,126
256,DEV-000407,San Francisco,38.4,1742,62
257,DEV-000408,Chicago,50.89,786,55
258,DEV-000409,Los Angeles,149.76,1527,45
259,DEV-000410,Houston,53.11,1216,61
260,DEV-000411;DEV-000412,Miami,31.4,409,14
261,DEV-000413,Miami,43.46,978,78
262,DEV-000414;DEV-000415;DEV-000416,Chicago,43.14,335,20
263,DEV-000417,Houston,50.89,1137,63
264,DEV-000418;DEV-000419,Chicago,230.01,1308,93
265,DEV-000420,Boston,80.95,1479,58
266,DEV-000421;DEV-000422,Boston,20.12,1853,135
267,DEV-000423,Boston,58.67,1574,61
268,DEV-000424,Seattle,160.95,697,18
269,DEV-000425;DEV-000426,Seattle,51.67,1120,42
270,DEV-000427;DEV-000428,Houston,73.04,1425,99
271,DEV-000429,Austin,120.74,805,26
272,DEV-000430,Miami,21.4,1553,41
273,DEV-000431;DEV-000432,New York,32.81,840,18
274,DEV-000433,Boston,123.18,447,14
275,DEV-000434;DEV-000435,Houston,51.61,1178,70
276,DEV-000436,Miami,96.08,1077,60
277,DEV-000437;DEV-000438;DEV-000439,Miami,109.9,558,34
278,DEV-000440;DEV-000441,Chicago,14.98,1994,108
279,DEV-000442;DEV-000443,Boston,21.53,1172,82
280,DEV-000444,Los Angeles,16.8,1282,49
281,DEV-000445;DEV-000446,Seattle,64.98,1451,105
282,DEV-000447;DEV-000448,Los Angeles,67.36,1041,29
283,DEV-000449,Austin,33.53,1596,54
284,DEV-000450;DEV-000451,Seattle,218.1,1474,61
285,DEV-000452,Austin,67.49,1093,58
286,DEV-000453,Seattle,131.46,1824,136
287,DEV-000454;DEV-000455,New York,81.59,51,3
288,DEV-000456;DEV-000457,Houston,128.91,1114,33
289,DEV-000458,Miami,39.88,469,12
290,DEV-000459,Seattle,72.36,424,34
291,DEV-000460,San Francisco,112.03,1816,114
292,DEV-000461,Houston,63.21,1387,108
293,DEV-000462,San Francisco,39.09,745,22
294,DEV-000463;DEV-000464;DEV-000465,New York,25.59,53,3
295,DEV-000466;DEV-000467,Los Angeles,19.2,1618,125
296,DEV-000468;DEV-000469,Chicago,69.62,1574,97
297,DEV-000470,San Francisco,21.17,1088,62
298,DEV-000471,San Francisco,18.08,623,19
299,DEV-000472,Miami,103.14,878,48
300,DEV-000473,San Francisco,20.72,1150,26
301,DEV-000474,Austin,58.89,1009,53
302,DEV-000475;DEV-000476;DEV-000477,Miami,20.07,1842,72
303,DEV-000478;DEV-000479,Miami,71.59,565,24
304,DEV-000480;DEV-000481,Chicago,37.94,1375,28
305,DEV-000482;DEV-000483;DEV-000484,Houston,12.64,1229,95
306,DEV-000485;DEV-000486,New York,21.21,1834,109
307,DEV-000487,Austin,20.74,1563,62
308,DEV-000488,Houston,32.71,105,7
309,DEV-000489;DEV-000490,Seattle,196.63,174,7
310,DEV-000491,Los Angeles,134.11,540,15
311,DEV-000492;DEV-000493,Seattle,39.97,339,26
312,DEV-000494,Seattle,48.78,970,73
313,DEV-000495;DEV-000496,Seattle,232.96,1123,67
314,DEV-000497;DEV-000498,Los Angeles,58.87,1713,89
315,DEV-000499;DEV-000500,Austin,92.77,1095,66
316,DEV-000501,Austin,121.33,1313,33
317,DEV-000502,San Francisco,12.75,1352,42
318,DEV-000503;DEV-000504;DEV-000505,New York,15.77,895,68
319,DEV-000506,Chicago,16.1,1282,65
320,DEV-000507,Chicago,99.37,579,38
321,DEV-000508,San Francisco,41.14,316,9
322,DEV-000509;DEV-000510,Seattle,62.4,514,37
323,DEV-000511,San Francisco,95.25,1782,60
324,DEV-000512;DEV-000513,Los Angeles,22.58,1115,84
325,DEV-000514;DEV-000515,Seattle,16.93,618,24
326,DEV-000516,Seattle,151.39,668,29
327,DEV-000517;DEV-000518,Boston,79.02,216,10
328,DEV-000519,Seattle,13.47,1524,100
329,DEV-000520,San Francisco,58.56,679,26
330,DEV-000521;DEV-000522,Boston,35.12,1518,64
331,DEV-000523;DEV-000524,Miami,15.6,1555,74
332,DEV-000525,Seattle,137.49,167,10
333,DEV-000526;DEV-000527;DEV-000528,New York,83.66,1716,43
334,DEV-000529;DEV-000530,Boston,93.27,1626,34
335,DEV-000531,Boston,48.59,1291,99
336,DEV-000532,Miami,34.97,1348,84
337,DEV-000533;DEV-000534,Chicago,179.11,1361,79
338,DEV-000535;DEV-000536;DEV-000537,Chicago,45.68,774,59
339,DEV-000538;DEV-000539,Miami,12.89,820,65
340,DEV-000540,Boston,153.26,557,22
341,DEV-000541;DEV-000542,Austin,157.59,177,11
342,DEV-000543;DEV-000544,Chicago,13.56,1344,99
343,DEV-000545,New York,33.55,1810,95
344,DEV-000546;DEV-000547;DEV-000548,New York,20.42,1570,52
345,DEV-000549;DEV-000550,San Francisco,227.59,1902,133
346,DEV-000551,Los Angeles,195.79,339,9
347,DEV-000552,Miami,97.23,1432,74
348,DEV-000553;DEV-000554,Los Angeles,21.67,1462,62
349,DEV-000555,Miami,20.68,999,68
350,DEV-000556;DEV-000557,Los Angeles,106.08,647,45
351,DEV-000558,Miami,14.34,242,18
352,DEV-000559;DEV-000560,Miami,42.72,835,59
353,DEV-000561;DEV-000562,Miami,28.15,52,4
354,DEV-000563;DEV-000564;DEV-000565,Los Angeles,15.63,1923,95
355,DEV-000566;DEV-000567;DEV-000568,Miami,100.66,914,22
356,DEV-000569,New York,57.07,1954,84
357,DEV-000570,Los Angeles,61.49,1427,104
358,DEV-000571,Miami,54.84,174,8
359,DEV-000572;DEV-000573,Houston,17.05,1961,73
360,DEV-000574;DEV-000575;DEV-000576,Boston,69.14,1553,114
361,DEV-000577,Seattle,224.12,146,9
362,DEV-000578;DEV-000579,Seattle,68.28,900,34
363,DEV-000580,Chicago,209.22,1828,42
364,DEV-000581;DEV-000582;DEV-000583,Houston,13.12,1158,76
365,DEV-000584;DEV-000585,Miami,31.6,1553,122
366,DEV-000586,Miami,112.68,619,48
367,DEV-000587;DEV-000588,San Francisco,12.43,740,19
368,DEV-000589,Houston,53.64,1673,47
369,DEV-000590;DEV-000591,Miami,240.57,1825,55
370,DEV-000592;DEV-000593,Chicago,35.59,1017,68
371,DEV-000594;DEV-000595;DEV-000596,San Francisco,60.54,316,18
372,DEV-000597;DEV-000598;DEV-000599,San Francisco,42.61,1654,49
373,DEV-000600,New York,113.68,1126,64
374,DEV-000601,New York,131.52,184,5
375,DEV-000602;DEV-000603,Seattle,35.04,895,68
376,DEV-000604;DEV-000605,Miami,36.58,915,63
377,DEV-000606,Chicago,53.92,611,42
378,DEV-000607,Boston,21.46,1253,61
379,DEV-000608;DEV-000609,San Francisco,36.27,1403,51
380,DEV-000610,Miami,90.02,1559,54
381,DEV-000611,Miami,93.16,347,14
382,DEV-000612,Austin,26.71,1260,50
383,DEV-000613;DEV-000614;DEV-000615,Chicago,31.11,644,40
384,DEV-000616,Seattle,121.44,779,45
385,DEV-000617;DEV-000618,Houston,72.07,1572,122
386,DEV-000619,Seattle,37.83,478,15
387,DEV-000620;DEV-000621,Los Angeles,28.85,1052,43
388,DEV-000622;DEV-000623,Austin,135.96,1214,81
389,DEV-000624;DEV-000625,Houston,202.65,487,17
390,DEV-000626,San Francisco,81.6,1642,87
391,DEV-000627,Austin,238.38,1626,127
392,DEV-000628;DEV-000629,Houston,164.27,1152,60
393,DEV-000630;DEV-000631,San Francisco,24.88,1058,52
394,DEV-000632,Houston,162.18,843,47
395,DEV-000633;DEV-000634;DEV-000635,Houston,63.96,814,53
396,DEV-000636,Chicago,190.12,1598,65
397,DEV-000637;DEV-000638,Houston,55.65,1180,86
398,DEV-000639;DEV-000640,Chicago,25.76,1285,77
399,DEV-000641;DEV-000642;DEV-000643,Los Angeles,12.96,308,20
400,DEV-000644,San Francisco,215.74,1316,91
401,DEV-000645;DEV-000646,Boston,159.02,664,39
402,DEV-000647,San Francisco,12.57,964,43
403,DEV-000648;DEV-000649,New York,12.38,95,5
404,DEV-000650;DEV-000651,Houston,17.3,705,34
405,DEV-000652;DEV-000653;DEV-000654,New York,21.47,1198,56
406,DEV-000655;DEV-000656;DEV-000657,Chicago,149.14,1754,102
407,DEV-000658;DEV-000659,Boston,37.36,418,11
408,DEV-000660,Miami,32.29,1557,57
409,DEV-000661,Chicago,25.03,414,19
410,DEV-000662;DEV-000663,San Francisco,147.84,1372,62
411,DEV-000664;DEV-000665,Miami,59.25,339,9
412,DEV-000666;DEV-000667;DEV-000668,Houston,35.39,1434,66
413,DEV-000669,Miami,79.16,55,3
414,DEV-000670,Miami,48.45,1291,48
415,DEV-000671,New York,21.59,1478,82
416,DEV-000672,Miami,43.19,1944,70
417,DEV-000673,Boston,155.38,1315,101
418,DEV-000674;DEV-000675,San Francisco,27.21,1643,82
419,DEV-000676;DEV-000677,Chicago,172.35,667,28
420,DEV-000678;DEV-000679;DEV-000680,Los Angeles,22.84,1395,69
421,DEV-000681;DEV-000682;DEV-000683,Houston,179.28,1257,69
422,DEV-000684;DEV-000685,San Francisco,166.1,1124,75
423,DEV-000686,New York,25.43,1052,41
424,DEV-000687,Chicago,135.0,244,14
425,DEV-000688,Chicago,44.8,1112,62
426,DEV-000689;DEV-000690;DEV-000691,Chicago,99.57,541,33
427,DEV-000692,Boston,107.26,1499,50
428,DEV-000693;DEV-000694,Austin,16.97,1570,115
429,DEV-000695;DEV-000696;DEV-000697,Los Angeles,34.85,459,26
430,DEV-000698,Boston,15.58,1702,122
431,DEV-000699,Miami,96.26,91,7
432,DEV-000700,Chicago,206.89,668,51
433,DEV-000701,Chicago,18.66,1038,28
434,DEV-000702,Miami,181.43,1982,121
435,DEV-000703;DEV-000704,Seattle,61.74,1213,66
436,DEV-000705;DEV-000706,Austin,21.5,968,48
437,DEV-000707,Seattle,40.67,1723,42
438,DEV-000708;DEV-000709,Houston,211.98,559,42
439,DEV-000710,Los Angeles,116.33,589,23
440,DEV-000711,San Francisco,25.51,775,62
441,DEV-000712;DEV-000713,New York,139.48,1293,56
442,DEV-000714,Austin,28.33,569,13
443,DEV-000715,Seattle,81.9,1286,95
444,DEV-000716,New York,182.06,960,45
445,DEV-000717;DEV-000718,Seattle,38.87,662,17
446,DEV-000719,Houston,137.72,1070,39
447,DEV-000720;DEV-000721,Chicago,14.82,1728,127
448,DEV-000722;DEV-000723,New York,157.84,1911,82
449,DEV-000724,Seattle,12.37,1714,37
450,DEV-000725,New York,51.41,1769,130
451,DEV-000726,Miami,120.58,771,22
452,DEV-000727;DEV-000728,Austin,14.25,1254,42
453,DEV-000729;DEV-000730,Miami,57.49,386,11
454,DEV-000731;DEV-000732,Houston,70.36,977,43
455,DEV-000733,New York,24.83,1463,72
456,DEV-000734;DEV-000735;DEV-000736,Seattle,19.82,1454,86
457,DEV-000737;DEV-000738,Chicago,145.22,696,47
458,DEV-000739;DEV-000740,Los Angeles,20.81,399,11
459,DEV-000741;DEV-000742,Boston,169.89,912,34
460,DEV-000743,Austin,29.45,1699,131
461,DEV-000744;DEV-000745;DEV-000746,Miami,20.84,1420,47
462,DEV-000747;DEV-000748;DEV-000749,Houston,63.54,1376,63
463,DEV-000750;DEV-000751,Houston,84.44,1723,76
464,DEV-000752;DEV-000753;DEV-000754,Chicago,243.52,186,9
465,DEV-000755;DEV-000756,Los Angeles,24.07,1691,60
466,DEV-000757;DEV-000758,New York,37.49,1186,40
467,DEV-000759,New York,66.87,1481,84
468,DEV-000760;DEV-000761,San Francisco,20.37,736,43
469,DEV-000762;DEV-000763;DEV-000764,Chicago,60.91,370,17
470,DEV-000765;DEV-000766,New York,238.23,1976,110
471,DEV-000767,Boston,76.64,234,12
472,DEV-000768,Houston,172.03,52,2
473,DEV-000769;DEV-000770,Miami,13.2,1639,59
474,DEV-000771,Miami,48.62,1036,24
475,DEV-000772,San Francisco,91.3,1479,106
476,DEV-000773;DEV-000774,Miami,14.26,1927,152
477,DEV-000775,San Francisco,133.06,1577,84
478,DEV-000776,Los Angeles,16.74,1022,79
479,DEV-000777;DEV-000778,Chicago,25.94,1673,106
480,DEV-000779,Seattle,12.84,1310,37
481,DEV-000780;DEV-000781;DEV-000782,Chicago,37.61,1182,53
482,DEV-000783,Los Angeles,154.59,294,6
483,DEV-000784;DEV-000785,San Francisco,212.93,737,47
484,DEV-000786;DEV-000787,Los Angeles,30.24,1356,47
485,DEV-000788;DEV-000789;DEV-000790,Houston,72.64,1913,83
486,DEV-000791;DEV-000792,Miami,41.0,560,13
487,DEV-000793,Houston,123.2,1215,57
488,DEV-000794,Chicago,26.68,330,21
489,DEV-000795,San Francisco,57.72,1811,54
490,DEV-000796;DEV-000797,Chicago,27.3,204,15
491,DEV-000798,Seattle,21.31,356,23
492,DEV-000799,San Francisco,164.86,1172,62
493,DEV-000800,New York,16.29,1925,126
494,DEV-000801;DEV-000802,New York,227.22,1622,72
495,DEV-000803;DEV-000804;DEV-000805,Los Angeles,12.3,281,6
496,DEV-000806;DEV-000807,Boston,29.42,1193,53
497,DEV-000808,San Francisco,51.75,1148,54
498,DEV-000809,San Francisco,89.7,383,16
499,DEV-000810;DEV-000811;DEV-000812,Los Angeles,26.5,643,15
500,DEV-000813;DEV-000814,Seattle,133.29,1039,69
501,DEV-000815;DEV-000816;DEV-000817,Houston,54.99,546,29
502,DEV-000818;DEV-000819,Chicago,159.23,1768,140
503,DEV-000820,Houston,98.41,1509,98
504,DEV-000821;DEV-000822;DEV-000823,Seattle,107.54,180,14
505,DEV-000824,Seattle,72.25,1855,136
506,DEV-000825,Miami,163.15,1799,91
507,DEV-000826,Houston,97.63,1937,40
508,DEV-000827;DEV-000828,Austin,127.79,472,14
509,DEV-000829;DEV-000830,Chicago,68.39,1092,28
510,DEV-000831,Austin,183.8,975,48
511,DEV-000832;DEV-000833;DEV-000834,Austin,23.29,261,17
512,DEV-000835;DEV-000836;DEV-000837,Seattle,66.08,1577,75
513,DEV-000838,Boston,14.85,1420,103
514,DEV-000839,Houston,71.27,1685,121
515,DEV-000840,Austin,72.52,1418,69
516,DEV-000841;DEV-000842,Boston,101.53,1267,100
517,DEV-000843;DEV-000844;DEV-000845,New York,15.7,1599,57
518,DEV-000846,Los Angeles,187.29,1009,53
