Transaction_ID,Fraudulent,True_Archetype,True_Fraud_Probability,True_Contributing_Factors
T19519,0,none,0.0,
T655,0,none,0.0375,
T41509,0,none,0.0,
T36733,0,none,0.037,
T50680,0,none,0.0,
T8002,0,none,0.0387,
T27079,0,none,0.0,
T40568,0,none,0.0,
T15069,0,none,0.0,
T22011,0,none,0.0,
T40064,0,none,0.0085,
T1089,0,none,0.0036,
T14230,0,none,0.0419,
T45240,0,none,0.0098,
T1081,0,none,0.0547,
T45037,0,none,0.0,
T45150,0,none,0.0235,
T2252,0,none,0.0,
T23310,0,none,0.0,
T52697,0,none,0.0,
T31726,0,none,0.0,
T26454,0,none,0.0261,
T37697,0,none,0.0,
T23654,0,none,0.0163,
T17722,1,account_takeover,0.4449,unrecognized_device_id;ip_location_mismatch;high_amount;new_recipient
T43670,0,none,0.0,
T43265,0,none,0.0,
T33902,1,stolen_funding_instrument,0.4986,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity
T39150,0,none,0.0559,
T19326,1,none,0.0447,
T1488,0,none,0.0,
T8014,0,none,0.0326,
T39409,0,none,0.0,
T2280,0,none,0.0239,
T25776,0,none,0.0,
T9817,0,none,0.0,
T41955,0,none,0.0,
T11165,0,none,0.0,
T18495,0,none,0.0,
T8898,0,none,0.0036,
T32862,0,none,0.0,
T18301,0,none,0.0,
T3376,0,none,0.0,
T4716,0,none,0.0,
T18106,1,none,0.0392,
T23288,0,none,0.0,
T4258,0,none,0.0096,
T238,0,none,0.0479,
T2949,0,none,0.0544,
T10999,0,none,0.046,
T40466,0,none,0.0,
T13630,0,none,0.0,
T2298,0,none,0.0073,
T51018,0,account_takeover,0.4231,unrecognized_device_id;ip_location_mismatch;high_amount;dormant_account_reactivated;newly_linked_destination_bank;recent_password_change
T10740,0,none,0.0535,
T49381,0,none,0.0,
T35786,0,none,0.0109,
T36974,0,none,0.0,
T37705,0,none,0.0,
T32017,0,none,0.0245,
T19920,0,none,0.0426,
T21000,0,none,0.0403,
T11517,1,stolen_funding_instrument,0.647,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity;shipping_billing_address_mismatch
T3848,0,none,0.0,
T52885,0,none,0.0109,
T39504,0,none,0.0,
T33333,0,none,0.0,
T25305,0,none,0.0314,
T18733,0,none,0.0246,
T3605,0,none,0.0554,
T30084,0,none,0.0404,
T13490,0,none,0.0302,
T45088,0,none,0.0006,
T2277,0,none,0.0397,
T44613,0,none,0.0174,
T12973,0,none,0.0,
T376,0,none,0.0,
T31409,0,none,0.0155,
T40927,0,none,0.0338,
T7921,0,none,0.0025,
T672,0,none,0.0,
T8694,1,none,0.0494,
T29667,0,none,0.0,
T41551,0,none,0.0164,
T49026,0,none,0.0009,
T7211,0,none,0.0,
T48067,0,none,0.0,
T48606,0,none,0.0433,
T8495,0,none,0.0,
T9943,0,none,0.0421,
T37001,0,none,0.0,
T27859,0,none,0.0,
T48926,0,none,0.0,
T7856,0,stolen_funding_instrument,0.2875,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate
T43084,0,stolen_funding_instrument,0.5682,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity;shipping_billing_address_mismatch
T17581,0,stolen_funding_instrument,0.6393,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity;shipping_billing_address_mismatch
T20436,0,none,0.0354,
T18989,0,none,0.0053,
T1109,0,none,0.037,
T48680,0,none,0.0,
T42138,0,none,0.0043,
T31688,0,none,0.0109,
T14227,0,none,0.0,
T52932,0,none,0.0102,
T8157,0,none,0.0491,
T25077,0,none,0.0,
T507,0,none,0.0,
T8668,0,none,0.0456,
T51926,0,none,0.0,
T13211,0,none,0.0276,
T49192,0,none,0.0538,
T37750,0,none,0.0,
T5735,0,none,0.0,
T30977,0,none,0.0,
T41260,1,stolen_funding_instrument,0.5021,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity
T29237,0,none,0.039,
T16965,0,none,0.0,
T1483,0,none,0.052,
T2410,0,none,0.0,
T6481,0,none,0.0542,
T40494,0,none,0.0279,
T6874,0,none,0.04,
T40193,0,none,0.039,
T11704,0,none,0.0,
T14896,0,none,0.0,
T28925,0,none,0.0391,
T34979,0,none,0.0,
T19623,0,none,0.0,
T9981,0,none,0.0,
T32397,0,none,0.0461,
T9222,0,none,0.025,
T47812,0,none,0.0227,
T11592,0,stolen_funding_instrument,0.6367,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity;shipping_billing_address_mismatch
T1586,0,none,0.0325,
T27937,0,stolen_funding_instrument,0.3376,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate
T4806,0,none,0.0,
T2929,0,none,0.0108,
T50678,0,none,0.0063,
T47412,0,stolen_funding_instrument,0.568,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity;new_high_risk_email
T24677,0,none,0.0515,
T11224,0,none,0.0,
T47687,0,none,0.0264,
T15191,0,stolen_funding_instrument,0.4254,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity
T20811,0,none,0.0073,
T39104,0,stolen_funding_instrument,0.6543,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity;shipping_billing_address_mismatch
T38363,0,none,0.0198,
T18200,0,none,0.0,
T11117,1,none,0.0417,
T38472,0,none,0.0,
T32640,0,none,0.0491,
T52859,0,none,0.02,
T33153,0,none,0.0,
T38783,0,none,0.0,
T5538,0,none,0.0294,
T40038,0,none,0.0,
T2506,0,none,0.0111,
T16448,0,none,0.0069,
T47980,0,none,0.0,
T1812,0,none,0.0,
T27322,0,none,0.0334,
T6555,0,none,0.0162,
T14613,0,none,0.0,
T1225,0,none,0.0184,
T32622,0,none,0.0521,
T13032,0,none,0.0009,
T41254,0,none,0.0,
T15730,0,none,0.0478,
T1996,0,none,0.0,
T42693,0,none,0.0,
T2194,0,none,0.0,
T16259,0,none,0.0,
T39902,0,none,0.0,
T7787,0,none,0.0282,
T52473,0,none,0.0,
T21689,0,none,0.0423,
T4014,0,none,0.0198,
T19395,0,none,0.0,
T16518,0,none,0.0,
T18543,0,none,0.0559,
T13342,0,none,0.0,
T40455,0,none,0.0142,
T1231,0,none,0.0179,
T37094,0,none,0.0,
T1957,0,none,0.0,
T29253,0,stolen_funding_instrument,0.3016,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate
T44374,0,none,0.0522,
T42265,0,none,0.0097,
T3439,1,account_takeover,0.643,unrecognized_device_id;ip_location_mismatch;high_amount;unusual_hour;jailbroken_device;new_recipient
T19079,0,none,0.0,
T35870,0,none,0.0554,
T16156,0,none,0.0234,
T19656,0,stolen_funding_instrument,0.7202,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity;new_high_risk_email;shipping_billing_address_mismatch
T13425,0,none,0.0,
T15787,0,none,0.0,
T48861,0,none,0.0468,
T48176,0,none,0.0306,
T1642,0,none,0.0,
T7221,1,account_takeover,0.6381,unrecognized_device_id;ip_location_mismatch;high_amount;dormant_account_reactivated;jailbroken_device;new_recipient;recent_password_change
T51577,0,none,0.0162,
T18752,0,none,0.0328,
T5951,0,none,0.0,
T15686,0,none,0.0438,
T5709,0,none,0.0479,
T44438,0,none,0.0385,
T52414,0,none,0.0,
T1446,0,none,0.0045,
T17726,0,none,0.0085,
T12306,0,none,0.0061,
T23193,0,none,0.0439,
T50805,0,none,0.0092,
T29153,0,none,0.0,
T45497,0,none,0.0518,
T13510,0,none,0.0493,
T1045,0,none,0.0,
T19344,0,none,0.0082,
T40487,0,none,0.0,
T34816,0,none,0.031,
T37594,0,none,0.0,
T29787,0,none,0.0498,
T49835,0,none,0.0151,
T2777,1,account_takeover,0.6514,unrecognized_device_id;ip_location_mismatch;high_amount;unusual_hour;jailbroken_device;new_recipient
T50684,0,none,0.0116,
T37623,0,none,0.02,
T11290,0,none,0.0179,
T30308,0,none,0.0554,
T44231,0,none,0.0005,
T30747,1,stolen_funding_instrument,0.4133,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity
T47345,0,none,0.0568,
T28229,0,stolen_funding_instrument,0.4507,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity
T2904,0,none,0.033,
T23337,0,none,0.057,
T15671,0,none,0.0,
T33356,0,none,0.0,
T13664,0,none,0.0,
T35805,0,none,0.0,
T22686,0,none,0.042,
T35435,0,none,0.051,
T4031,0,none,0.0,
T18786,0,none,0.0034,
T6427,0,none,0.0,
T13708,0,stolen_funding_instrument,0.4593,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;shipping_billing_address_mismatch
T15028,0,none,0.0,
T33265,0,none,0.0473,
T31687,0,none,0.0,
T9211,0,none,0.0,
T6349,0,none,0.0,
T445,0,none,0.0158,
T48281,0,none,0.0193,
T32836,0,none,0.0088,
T31661,0,none,0.0,
T42368,1,stolen_funding_instrument,0.4978,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity
T20056,0,none,0.0025,
T50636,0,none,0.0346,
T35601,0,none,0.0,
T45432,0,account_takeover,0.4239,unrecognized_device_id;ip_location_mismatch;high_amount;new_recipient
T52255,0,none,0.0567,
T21801,0,none,0.0,
T27799,0,none,0.0565,
T1608,0,none,0.0088,
T2582,0,none,0.0173,
T14648,0,none,0.0,
T35068,0,none,0.0438,
T5731,0,none,0.027,
T38689,0,none,0.0428,
T33532,1,stolen_funding_instrument,0.4158,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity
T29783,0,none,0.0377,
T18646,0,none,0.0022,
T5403,0,account_takeover,0.4981,unrecognized_device_id;ip_location_mismatch;high_amount;dormant_account_reactivated;newly_linked_destination_bank
T2103,0,none,0.0106,
T45978,1,stolen_funding_instrument,0.5318,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity;new_high_risk_email
T20867,0,none,0.0,
T45848,0,none,0.0,
T38949,0,none,0.05,
T42957,0,account_takeover,0.5717,unrecognized_device_id;ip_location_mismatch;high_amount;unusual_hour;new_recipient
T33215,0,none,0.0241,
T38170,0,none,0.0268,
T37830,0,none,0.0376,
T30097,0,none,0.0388,
T41662,0,none,0.0,
T28085,0,none,0.0524,
T37654,0,none,0.0363,
T10148,0,none,0.0,
T31318,0,none,0.0,
T22737,0,none,0.0,
T15924,0,none,0.0,
T35394,0,none,0.0446,
T25917,0,none,0.0,
T5001,0,none,0.0,
T44749,0,none,0.0268,
T7173,0,none,0.0475,
T38952,0,none,0.0,
T47646,0,none,0.0,
T1890,0,none,0.0318,
T810,0,none,0.0,
T29515,0,none,0.025,
T11590,0,none,0.0509,
T543,0,none,0.0535,
T32994,0,none,0.0,
T52895,0,none,0.0,
T52959,0,none,0.0,
T40569,1,account_takeover,0.5528,unrecognized_device_id;ip_location_mismatch;high_amount;unusual_hour;new_recipient
T10120,0,none,0.0,
T43817,1,stolen_funding_instrument,0.5832,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity;shipping_billing_address_mismatch
T10496,0,none,0.0051,
T35973,0,none,0.0345,
T49474,0,none,0.046,
T26900,0,none,0.0,
T27929,0,account_takeover,0.4136,unrecognized_device_id;ip_location_mismatch;high_amount;new_recipient
T30427,0,none,0.0,
T38064,0,account_takeover,0.7167,unrecognized_device_id;ip_location_mismatch;high_amount;dormant_account_reactivated;jailbroken_device;new_recipient
T21116,1,none,0.0388,
T12980,0,none,0.0081,
T1913,0,none,0.0535,
T29070,0,none,0.0055,
T9258,1,none,0.0452,
T14378,0,none,0.0,
T18809,0,none,0.0,
T43245,0,none,0.0,
T22992,0,none,0.0172,
T24221,0,none,0.0026,
T16289,0,none,0.0501,
T28241,0,none,0.0273,
T27584,0,none,0.0211,
T52691,1,account_takeover,0.5387,unrecognized_device_id;ip_location_mismatch;high_amount;dormant_account_reactivated;jailbroken_device;newly_linked_destination_bank
T36107,0,none,0.0008,
T36455,0,none,0.047,
T47740,1,none,0.0205,
T43401,0,none,0.0,
T851,0,none,0.0152,
T28155,0,none,0.0114,
T46757,0,none,0.0,
T16744,0,none,0.0,
T9944,0,none,0.0152,
T37753,0,none,0.0002,
T46706,1,stolen_funding_instrument,0.4571,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity
T29772,0,none,0.0,
T38190,0,none,0.0,
T43919,0,none,0.0,
T30706,0,none,0.0522,
T41592,0,stolen_funding_instrument,0.4951,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity
T28961,0,none,0.0,
T32997,0,none,0.0224,
T4515,0,none,0.0,
T4509,0,none,0.0026,
T24137,0,none,0.0382,
T26257,0,none,0.0,
T28851,0,none,0.0,
T6547,0,none,0.0,
T22126,0,none,0.0,
T52460,0,none,0.0197,
T28304,0,none,0.0508,
T3559,0,none,0.0517,
T27977,0,none,0.0314,
T40860,0,none,0.0,
T13282,0,none,0.0,
T33896,0,none,0.0358,
T30304,0,none,0.0,
T33477,0,none,0.0348,
T32190,0,none,0.0513,
T43047,0,none,0.0435,
T13890,0,none,0.0302,
T28365,0,none,0.0054,
T50090,0,none,0.0149,
T19705,0,none,0.0021,
T52524,0,none,0.0,
T50390,1,account_takeover,0.7928,unrecognized_device_id;ip_location_mismatch;high_amount;unusual_hour;dormant_account_reactivated;jailbroken_device;new_recipient
T49446,0,none,0.0361,
T18018,0,none,0.0571,
T38337,0,stolen_funding_instrument,0.4884,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity
T40229,0,none,0.0248,
T49925,0,none,0.0051,
T25550,1,stolen_funding_instrument,0.467,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity
T29124,0,none,0.0461,
T22253,0,none,0.0098,
T36758,0,none,0.0,
T49784,0,none,0.0406,
T27561,0,none,0.0272,
T3521,0,none,0.0,
T6569,0,none,0.0355,
T16824,1,stolen_funding_instrument,0.45,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity
T26688,0,none,0.029,
T12680,0,none,0.0044,
T39557,0,none,0.0487,
T10114,0,none,0.0364,
T16221,0,none,0.0445,
T646,0,none,0.0073,
T39448,0,none,0.0,
T25893,0,none,0.0,
T47529,1,account_takeover,0.5089,unrecognized_device_id;ip_location_mismatch;high_amount;unusual_hour;dormant_account_reactivated;newly_linked_destination_bank;recent_password_change
T6267,0,none,0.048,
T45206,0,none,0.0132,
T40332,1,stolen_funding_instrument,0.4335,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity
T46657,0,none,0.0558,
T50071,0,none,0.0126,
T7212,0,none,0.0304,
T25846,0,none,0.0,
T52427,0,none,0.0059,
T46731,0,none,0.0,
T29911,0,none,0.0,
T6221,0,none,0.0,
T35306,0,none,0.0468,
T16734,0,none,0.0306,
T7905,0,none,0.0305,
T17290,0,none,0.0,
T5874,0,none,0.0041,
T45711,0,none,0.0,
T42299,0,none,0.0,
T45342,0,none,0.0023,
T28308,0,none,0.0366,
T22296,0,none,0.0458,
T15596,0,none,0.0,
T41646,0,stolen_funding_instrument,0.3458,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate
T3377,0,none,0.0394,
T22740,1,account_takeover,0.4513,unrecognized_device_id;ip_location_mismatch;high_amount;new_recipient
T25316,0,none,0.0022,
T36062,0,none,0.0,
T7943,0,none,0.0,
T52715,0,none,0.0,
T22928,0,none,0.0,
T41672,0,none,0.0,
T33216,0,none,0.0,
T12363,0,none,0.0,
T3443,0,none,0.0395,
T48498,0,none,0.0173,
T37467,1,account_takeover,0.5999,unrecognized_device_id;ip_location_mismatch;high_amount;unusual_hour;new_recipient
T51326,1,stolen_funding_instrument,0.4478,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity
T51415,1,stolen_funding_instrument,0.3796,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;new_high_risk_email
T45925,0,none,0.0,
T42915,0,none,0.0407,
T43156,0,none,0.0134,
T43781,0,none,0.034,
T6191,0,none,0.0,
T43806,0,none,0.043,
T44586,0,none,0.0351,
T52138,0,none,0.0202,
T18884,0,none,0.0394,
T10809,0,none,0.0211,
T7271,1,stolen_funding_instrument,0.4386,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity
T13529,0,stolen_funding_instrument,0.4449,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity
T9747,1,stolen_funding_instrument,0.4845,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity
T5837,0,none,0.0,
T6177,0,none,0.0565,
T41956,0,none,0.0,
T9903,0,none,0.0191,
T34681,0,none,0.0371,
T41224,0,none,0.0218,
T12156,0,none,0.0521,
T36510,0,account_takeover,0.4798,unrecognized_device_id;ip_location_mismatch;high_amount;unusual_hour;newly_linked_destination_bank
T44512,0,none,0.0,
T27754,0,none,0.0557,
T8836,0,none,0.0257,
T24760,0,none,0.0,
T50688,0,none,0.0,
T31221,0,none,0.0122,
T14813,0,none,0.0414,
T1884,0,none,0.0103,
T29599,1,account_takeover,0.6243,unrecognized_device_id;ip_location_mismatch;high_amount;unusual_hour;jailbroken_device;newly_linked_destination_bank
T17083,0,none,0.0,
T50808,0,none,0.0,
T50322,0,none,0.0531,
T31333,0,none,0.0557,
T17430,0,none,0.0235,
T52247,0,none,0.0403,
T18903,0,none,0.0298,
T30145,0,none,0.0,
T10271,0,none,0.03,
T17988,0,none,0.0,
T41142,0,none,0.0,
T14626,0,none,0.0,
T31168,0,none,0.0204,
T31428,0,none,0.0,
T38692,0,none,0.0246,
T42132,0,none,0.0015,
T28694,0,account_takeover,0.7109,unrecognized_device_id;ip_location_mismatch;high_amount;unusual_hour;jailbroken_device;new_recipient
T18730,0,none,0.0,
T33201,1,stolen_funding_instrument,0.4326,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity
T51344,0,none,0.0016,
T35830,0,none,0.0477,
T48580,0,none,0.0,
T17813,0,none,0.0459,
T50978,0,none,0.0155,
T34421,1,stolen_funding_instrument,0.5933,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity;new_high_risk_email
T8139,0,none,0.0054,
T18412,0,none,0.0242,
T52002,0,none,0.0393,
T45335,0,none,0.0252,
T20771,1,account_takeover,0.5431,unrecognized_device_id;ip_location_mismatch;high_amount;dormant_account_reactivated;new_recipient
T52629,0,none,0.0224,
T29674,0,none,0.0,
T29586,0,none,0.0299,
T13371,0,none,0.0,
T25232,0,none,0.0371,
T29818,0,none,0.0577,
T44783,0,none,0.0156,
T31534,0,none,0.0,
T46576,0,none,0.0,
T30466,0,none,0.0272,
T36922,0,none,0.0012,
T2190,0,none,0.0,
T34149,1,account_takeover,0.581,unrecognized_device_id;ip_location_mismatch;high_amount;jailbroken_device;new_recipient
T25579,0,none,0.0303,
T23795,0,none,0.0,
T171,0,none,0.0,
T5626,0,none,0.0,
T31717,0,none,0.0,
T3267,0,none,0.0,
T46178,0,none,0.0,
T4573,0,none,0.0,
T6727,0,none,0.0293,
T32348,0,none,0.0178,
T40111,0,none,0.0204,
T21635,0,none,0.0,
T49898,0,none,0.0521,
T38532,0,none,0.0,
T13611,0,none,0.0121,
T39473,0,none,0.0,
T7008,0,none,0.0129,
T27100,0,none,0.027,
T6852,0,none,0.0,
T51503,0,none,0.0439,
T16490,0,none,0.0,
T48827,0,stolen_funding_instrument,0.4161,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity
T26207,0,none,0.0458,
T2099,0,none,0.0,
T47865,0,none,0.0396,
T53018,1,stolen_funding_instrument,0.4422,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;new_high_risk_email
T41716,0,none,0.0065,
T33150,0,stolen_funding_instrument,0.4549,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity
T23261,0,none,0.0,
T12733,0,none,0.004,
T43557,0,none,0.0,
T43685,0,none,0.038,
T45894,0,none,0.0,
T4874,0,none,0.0455,
T2429,0,none,0.0004,
T34976,0,none,0.0277,
T26717,0,none,0.0177,
T15210,0,none,0.0288,
T33966,0,none,0.0472,
T51988,1,stolen_funding_instrument,0.347,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate
T40590,0,none,0.0055,
T14851,0,none,0.0,
T4712,0,none,0.0296,
T47487,1,account_takeover,0.7279,unrecognized_device_id;ip_location_mismatch;high_amount;unusual_hour;dormant_account_reactivated;jailbroken_device;newly_linked_destination_bank;recent_password_change
T17339,0,none,0.0,
T52140,0,none,0.0,
T44289,0,none,0.0,
T4199,0,none,0.0326,
T37629,0,none,0.0,
T7830,0,none,0.0,
T6689,0,none,0.0,
T33606,0,none,0.0529,
T12180,0,none,0.0,
T50588,0,none,0.0,
T3989,0,none,0.0,
T28199,0,none,0.0,
T5994,0,stolen_funding_instrument,0.4897,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity
T29921,0,none,0.0568,
T30704,0,none,0.0334,
T35345,0,account_takeover,0.3088,unrecognized_device_id;ip_location_mismatch;high_amount;newly_linked_destination_bank
T42835,0,none,0.0,
T43798,0,none,0.0447,
T11451,0,none,0.0084,
T42774,0,none,0.0,
T31375,0,none,0.0159,
T15939,0,none,0.0,
T49130,0,none,0.0123,
T12081,0,none,0.0,
T5958,0,none,0.0145,
T46184,0,none,0.0184,
T20016,0,none,0.0,
T22045,0,stolen_funding_instrument,0.4432,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity
T45059,0,none,0.0,
T37504,0,none,0.0078,
T32876,0,none,0.0183,
T16299,0,none,0.0,
T23019,1,stolen_funding_instrument,0.5822,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity;shipping_billing_address_mismatch
T17965,0,none,0.0,
T23239,0,none,0.0,
T40023,0,none,0.0306,
T39942,0,none,0.0104,
T48913,0,none,0.0344,
T37005,0,none,0.0,
T12333,0,none,0.001,
T27712,0,none,0.0204,
T9314,0,none,0.0,
T18521,0,none,0.0,
T40297,0,none,0.0539,
T39126,0,none,0.0,
T28600,0,none,0.0242,
T21596,0,none,0.0432,
T50302,0,none,0.0,
T26222,0,none,0.0,
T42453,0,none,0.0098,
T46143,0,none,0.0508,
T48595,0,stolen_funding_instrument,0.4864,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;shipping_billing_address_mismatch
T12915,0,none,0.0,
T43328,0,none,0.0326,
T48552,0,none,0.0,
T34905,0,none,0.0468,
T21481,0,none,0.0,
T42707,0,none,0.0,
T6046,0,none,0.0084,
T29308,0,none,0.0,
T8823,0,none,0.0,
T5303,0,none,0.018,
T6173,0,none,0.0121,
T2540,0,none,0.0078,
T27412,0,none,0.0127,
T17387,0,none,0.0555,
T23442,0,none,0.0,
T1508,0,none,0.0,
T52486,0,none,0.0294,
T2082,0,stolen_funding_instrument,0.4386,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity
T31613,0,none,0.0,
T14162,0,none,0.0218,
T36734,0,none,0.0103,
T40081,0,none,0.0443,
T5419,0,account_takeover,0.5228,unrecognized_device_id;ip_location_mismatch;high_amount;unusual_hour;dormant_account_reactivated;newly_linked_destination_bank
T19069,0,none,0.0,
T39617,0,none,0.0,
T32863,0,none,0.0527,
T36367,0,none,0.0516,
T43980,0,none,0.0113,
T34384,0,none,0.0213,
T25168,0,stolen_funding_instrument,0.4121,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity
T18440,0,none,0.0035,
T33120,0,none,0.0,
T37574,0,none,0.028,
T12012,0,none,0.0357,
T15436,0,stolen_funding_instrument,0.501,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity
T24015,0,none,0.0403,
T46230,0,none,0.0073,
T26594,0,none,0.0432,
T15919,0,none,0.0,
T27333,0,none,0.0169,
T9161,0,none,0.0,
T37239,0,none,0.0282,
T2972,0,none,0.0315,
T42701,0,none,0.0,
